position.lat,position.lng,Restaurants,Department Stores,Gyms,Cluster
35.689487,139.691711,3,2,1,1
37.566536,126.977966,4,1,2,2
48.208176,16.373819,1,3,3,1
34.052234,-118.243685,2,2,4,2
40.73061,-73.935242,3,1,2,1
51.507351,-0.127758,4,2,1,2
37.774929,-122.419416,1,3,3,2
41.878114,-87.629798,2,4,2,2
42.360081,-71.058884,3,1,1,1
37.786686,-122.416014,23,10,5,1
37.774447,-122.434057,19,6,2,2
37.766124,-122.434028,17,8,3,1
37.797299,-122.429473,25,12,7,1
37.775001,-122.406716,18,7,4,2
37.758765,-122.430803,15,5,1,1
37.792045,-122.407107,21,11,6,0
37.784877,-122.419108,22,9,4,1
37.770184,-122.446957,16,6,2,2
37.764017,-122.397335,14,5,1,0
37.795252,-122.404125,24,10,6,1
37.776908,-122.422385,19,8,3,2
37.781367,-122.417528,20,9,4,0
37.789814,-122.407289,21,10,5,1
37.775915,-122.447266,17,7,2,2
37.790501,-122.398351,23,11,7,0
37.76453,-122.397523,14,4,1,1
37.792753,-122.408211,20,10,5,0
37.787119,-122.399464,22,9,4,1
37.775359,-122.430494,18,7,3,0
37.766542,-122.403381,15,5,1,2
37.798465,-122.404056,26,12,7,0
37.777496,-122.438382,19,7,3,2
